Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
11/14/1926,Mound,Moundsville,WV,5,Coal,Explosion,UG,Coal
12/8/1926,Francisco No. 2,Francisco,IN,37,Coal,Explosion,UG,Coal
1/30/1927,Nortonville Mining,Nortonville,KY,5,Coal,Explosion,UG,Coal
3/29/1927,Saline No. 2,Ledford,IL,8,Coal,Explosion,UG,Coal
4/1/1927,No. 53,Cokeburg,PA,6,Coal,Explosion,UG,Coal
4/7/1927,Carbonado,Carbonado,WA,7,Coal,Inundation,UG,Coal
4/29/1927,Federal No. 3,Everettville,WV,97,Coal,Explosion,UG,Coal
5/12/1927,Shanon Branch No. 3,Caples,WV,8,Coal,Explosion,UG,Coal
5/25/1927,Woodward No. 3,Edwardsville,PA,7,Coal,Explosion,UG,Coal
5/26/1927,Delagua,Delagua,CO,7,Coal,Explosion,UG,Coal
8/2/1927,West Kentucky No. 7,Clay,KY,15,Coal,Explosion,UG,Coal
10/28/1927,Quincy Mine No. 2 Shaft,Hancock,MI,7,Copper,Fall of rock in shaft,UG,Metal
11/23/1927,Magma,Superior,AZ,7,Copper,Shaft fire,UG,Metal
12/19/1927,Franco No. 1,Johnston City,IL,7,Coal,Explosion,UG,Coal
1/8/1928,No. 18,West Frankfort,IL,21,Coal,Explosion,UG,Coal
2/19/1928,Kinloch,Parnassus,PA,12,Coal,Explosion,UG,Coal
2/23/1928,Mama No. 3,Jenny Lind,AR,13,Coal,Explosion,UG,Coal
4/1/1928,Keystone No. 2,Keystone,WV,8,Coal,Explosion,UG,Coal
5/18/1928,Mather No. 1,Mather,PA,195,Coal,Explosion,UG,Coal
5/21/1928,No. 30,Kenvir,KY,8,Coal,Explosion,UG,Coal
5/21/1928,No. 1,Yukon,WV,17,Coal,Explosion,UG,Coal
5/24/1928,Baltimore No. 5,Parsons,PA,10,Coal,Explosion,UG,Coal
6/19/1928,No. 1,National,WV,6,Coal,Explosion,UG,Coal
8/8/1928,Hillside,Johnstown,PA,5,Coal,Explosion,UG,Coal
8/14/1928,Irvons No. 3,Coalport,PA,13,Coal,Explosion,UG,Coal
10/21/1928,McAlpin,McAlpin,WV,6,Coal,Explosion,UG,Coal
11/29/1928,Princess Poca,Roderfield,WV,6,Coal,Explosion,UG,Coal
12/17/1928,No. 2,Drakesboro,KY,6,Coal,Explosion,UG,Coal
